Area Code,Area,Item Code,Item,Element,Year Code,Year,Unit,Value,SUBJECT,MEASURE,Value
21,Brazil,4002,Ammonium sulphate,Import Quantity,2003,2003,tonnes,1639322.63,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2004,2004,tonnes,1695997.41,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2005,2005,tonnes,1314582.24,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2006,2006,tonnes,1635602.72,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2007,2007,tonnes,2023899.8,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2008,2008,tonnes,1525887.86,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2009,2009,tonnes,1506588.71,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2010,2010,tonnes,1652500.92,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2011,2011,tonnes,2025118.91,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2012,2012,tonnes,1631845.9,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2013,2013,tonnes,1778577.25,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2014,2014,tonnes,1837135.99,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2015,2015,tonnes,1624428.34,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2016,2016,tonnes,1917926.05,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2017,2017,tonnes,1903960.77,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2002,2002,1000 US$,80190.66,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2003,2003,1000 US$,122471.22,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2004,2004,1000 US$,177858.09,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2005,2005,1000 US$,157054.7,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2006,2006,1000 US$,185530.83,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2007,2007,1000 US$,331165.06,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2008,2008,1000 US$,499495.1,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2009,2009,1000 US$,188739.72,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2010,2010,1000 US$,229865.4,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2011,2011,1000 US$,474548.65,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2012,2012,1000 US$,422719.23,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2013,2013,1000 US$,408204.79,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2014,2014,1000 US$,322452.96,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2015,2015,1000 US$,307150.92,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2016,2016,1000 US$,328063.06,,,
21,Brazil,4002,Ammonium sulphate,Import Value,2017,2017,1000 US$,295007.4,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2002,2002,tonnes,2435.71,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2003,2003,tonnes,2463.91,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2004,2004,tonnes,1437.35,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2005,2005,tonnes,3531.08,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2006,2006,tonnes,4345.28,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2007,2007,tonnes,4130.25,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2008,2008,tonnes,3374.6,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2009,2009,tonnes,3473.36,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2010,2010,tonnes,2831.31,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2011,2011,tonnes,4884,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2012,2012,tonnes,1169.19,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2013,2013,tonnes,4110.66,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2014,2014,tonnes,4068.01,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2015,2015,tonnes,5020.03,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2016,2016,tonnes,3692.4,,,
21,Brazil,4002,Ammonium sulphate,Export Quantity,2017,2017,tonnes,2873.11,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2002,2002,1000 US$,374.63,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2003,2003,1000 US$,365,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2004,2004,1000 US$,296.5,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2005,2005,1000 US$,768.91,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2006,2006,1000 US$,906.55,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2007,2007,1000 US$,1115.52,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2008,2008,1000 US$,1465.03,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2009,2009,1000 US$,818.3,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2010,2010,1000 US$,834.92,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2011,2011,1000 US$,1667.31,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2012,2012,1000 US$,485.31,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2013,2013,1000 US$,1486.94,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2014,2014,1000 US$,1398.85,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2015,2015,1000 US$,1657.8,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2016,2016,1000 US$,1112.71,,,
21,Brazil,4002,Ammonium sulphate,Export Value,2017,2017,1000 US$,990.46,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2002,2002,tonnes,1430570,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2003,2003,tonnes,2007494,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2004,2004,tonnes,1798408,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2005,2005,tonnes,1600768,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2006,2006,tonnes,1810213,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2007,2007,tonnes,1631473,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2008,2008,tonnes,1631473,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2009,2009,tonnes,1839159,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2010,2010,tonnes,1822472,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2011,2011,tonnes,2176526,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2012,2012,tonnes,2037830,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2013,2013,tonnes,1994633.59,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2014,2014,tonnes,302551,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2015,2015,tonnes,255277,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2016,2016,tonnes,202460,,,
21,Brazil,4002,Ammonium sulphate,Agricultural Use,2017,2017,tonnes,263842,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Production,2013,2013,tonnes,0,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Production,2014,2014,tonnes,0,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Production,2015,2015,tonnes,0,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Production,2016,2016,tonnes,0,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Production,2017,2017,tonnes,0,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Import Quantity,2003,2003,tonnes,450,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Import Quantity,2004,2004,tonnes,2775,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Import Quantity,2006,2006,tonnes,308,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Import Quantity,2007,2007,tonnes,38137.36,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Import Quantity,2008,2008,tonnes,16105.85,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Import Quantity,2009,2009,tonnes,36044.44,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Import Quantity,2010,2010,tonnes,119822.15,,,
21,Brazil,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Import Quantity,2011,2011,tonnes,208913.88,,,
